name,district,lat,lng,tag
大堤路新城路(招呼站),金山区,30.71685,121.347617, 
沪杭公路亭卫南路,金山区,30.732807,121.37731, 
沪杭路亭卫南路,金山区,30.733221,121.378245, 
杭州湾大道隆安东路,金山区,30.727462,121.363291, 
金山卫站(南广场西站),金山区,30.732208,121.368394, 
沪杭路杭州湾大道,金山区,30.724606,121.36572, 
隆安东路卫阳南路,金山区,30.728305,121.366795, 
龙胜东路杭州湾大道,金山区,30.735263,121.362419, 
卫阳南路龙胜东路,金山区,30.73564,121.365457, 
沪杭公路新江,金山区,30.728473,121.369742, 
金山卫站,金山区,30.733909,121.368856, 
隆安路杭州湾大道,金山区,30.725684,121.362717, 
金山卫站(南广场东站),金山区,30.733902,121.370481, 
隆安东路同凯路,金山区,30.73153,121.370946, 
金山卫站北广场,金山区,30.734721,121.369357, 
金山卫站北广场(下客站),金山区,30.734706,121.369033, 
隆安东路杭州湾大道,金山区,30.725712,121.362862, 
隆安东路卫阳南路(招呼站),金山区,30.728606,121.367215, 
沪杭公路金山嘴西,金山区,30.734986,121.380335, 
联星,金山区,30.767521,121.276376, 
横召村委(招呼站),金山区,30.769413,121.260467, 
联合(招呼站),金山区,30.766337,121.260986, 
金石路刘建路,金山区,30.763105,121.261514, 
柳家桥,金山区,30.767326,121.273143, 
招呼站,金山区,30.766547,121.260938, 
许家桥(招呼站),金山区,30.771862,121.270983, 
刘建路(招呼站),金山区,30.763104,121.261528, 
金石公路刘建路(招呼站),金山区,30.763241,121.261506, 
张桥路金石路,金山区,30.760149,121.262837, 
张桥路跨线桥,金山区,30.756267,121.277968, 
定向河4号桥,金山区,30.760031,121.267017, 
新联村,金山区,30.739808,121.279949, 
金石路金梅路,金山区,30.741892,121.279611, 
张桥村,金山区,30.758973,121.263361, 
张桥7组,金山区,30.759712,121.274776, 
金梅路(招呼站),金山区,30.744286,121.277662, 
纬十河桥,金山区,30.754551,121.270434, 
南石(招呼站),金山区,30.75045,121.274522, 
金石南路金梅路(招呼站),金山区,30.744569,121.277523, 
纬十河桥(招呼站),金山区,30.754182,121.271043, 
金石南路南石(招呼站),金山区,30.750121,121.274678, 
农场,金山区,30.764017,121.293651, 
查梅路,金山区,30.75571,121.298397, 
王家浜桥,金山区,30.768905,121.288908, 
八字村委,金山区,30.770912,121.283799, 
查梅西路钱卫路,金山区,30.747541,121.282909, 
南石路跨线桥,金山区,30.752152,121.280714, 
招呼站,金山区,30.73846,121.280599, 
张桥村,金山区,30.757514,121.280154, 
八一梅园老村部,金山区,30.745848,121.287376, 
卫通村,金山区,30.772313,121.313717, 
松金公路查山,金山区,30.762842,121.317754, 
查山,金山区,30.762865,121.317755, 
卫通村(招呼站),金山区,30.772319,121.313703, 
松金公路卫通村,金山区,30.772299,121.313727, 
农建村委,金山区,30.758422,121.319621, 
农建村委(招呼站),金山区,30.75843,121.319581, 
卫宏路金山大道,金山区,30.736678,121.311256, 
龙轩路西静路,金山区,30.747895,121.319279, 
西静路金山大道,金山区,30.737131,121.3194, 
龙皓路学府路,金山区,30.752267,121.319936, 
西静路金山大道(招呼站),金山区,30.737139,121.319401, 
龙轩路西静路,金山区,30.747866,121.319169, 
西静路南阳湾路,金山区,30.744239,121.318116, 
西静路龙皓路,金山区,30.749714,121.317951, 
横浦村委,金山区,30.74948,121.301334, 
新圩,金山区,30.740721,121.305499, 
西静路龙航路,金山区,30.752186,121.317902, 
龙海路亭卫公路(招呼站),金山区,30.73935,121.306861, 
龙航路卫宏路,金山区,30.74729,121.308687, 
龙皓路学府路(下客站),金山区,30.752016,121.319361, 
龙航路新卫公路(上客站),金山区,30.743052,121.303399, 
松金公路农机,金山区,30.758511,121.319541, 
龙航路新卫公路,金山区,30.740261,121.3003, 
松金公路农建村委,金山区,30.758395,121.319603, 
龙航路新卫公路(下客站),金山区,30.740325,121.300362, 
龙皓路学府路,金山区,30.756845,121.333215,交通设施;公交车站
卫零北路龙航路(金山医院),金山区,30.76264,121.333527, 
金山医院(招呼站),金山区,30.76223,121.339134, 
龙航路蒙山北路(招呼站),金山区,30.76224,121.339101, 
卫零北路龙湾路,金山区,30.767691,121.331226, 
卫零北路卫通路,金山区,30.773315,121.329707, 
城河路金山大道,金山区,30.738907,121.333447, 
蒙山北路龙航路,金山区,30.760575,121.339912, 
龙航路金山医院,金山区,30.76153,121.335534, 
金山大道卫零路(招呼站),金山区,30.74221,121.339337, 
卫零北路龙翔路,金山区,30.753117,121.337925, 
卫零北路龙皓路,金山区,30.759331,121.335046, 
龙皓路东平北路,金山区,30.757045,121.333816, 
龙皓路卫零北路,金山区,30.758461,121.338125, 
龙轩路卫零北路,金山区,30.754867,121.339724, 
卫零北路龙轩路,金山区,30.755386,121.336875, 
金山大道城河路,金山区,30.740528,121.33126, 
金山大道学府路,金山区,30.739181,121.32503, 
华东理工大学金山校区,金山区,30.745909,121.325141, 
龙皓路海帆路,金山区,30.755771,121.330045, 
学府路龙皓路,金山区,30.754524,121.321403, 
学府路南阳湾路,金山区,30.742673,121.326293, 
学府路南阳湾路(招呼站),金山区,30.742692,121.326288, 
学府路龙轩路(招呼站),金山区,30.750428,121.323072, 
金山大道西静路,金山区,30.738115,121.320233, 
学府路龙皓路(招呼站),金山区,30.754481,121.32142, 
学府路龙轩路,金山区,30.749986,121.323964, 
龙皓路海帆路(上客站),金山区,30.756161,121.331053, 
海帆路龙航路,金山区,30.757398,121.32582, 
龙皓路学府路(上客站),金山区,30.7525,121.320445, 
龙航路海帆路,金山区,30.75766,121.324554, 
金山大道城河路(招呼站),金山区,30.740469,121.330894, 
龙皓路海帆路(下客站),金山区,30.755339,121.328897, 
金山大道学府路(招呼站),金山区,30.739017,121.324567, 
经三河桥,金山区,30.7731,121.357712, 
金山初级中学,金山区,30.761779,121.348202, 
杭州湾大道龙航路,金山区,30.766004,121.344076, 
海盛路龙航路,金山区,30.766001,121.353091, 
海芙路龙航路,金山区,30.764327,121.349091, 
龙航路海芙路,金山区,30.766413,121.350489, 
松卫南路龙航路,金山区,30.766171,121.344002, 
龙皓路海盛路,金山区,30.763731,121.354082, 
海欣家园,金山区,30.767584,121.357473, 
陆家宅(招呼站),金山区,30.773007,121.353385, 
金山万达枢纽站,金山区,30.762899,121.340886, 
海盛路龙皓路,金山区,30.762318,121.354778, 
海丰路,金山区,30.76549,121.359318, 
龙航路杭州湾大道(招呼站),金山区,30.764214,121.343594, 
海丰路龙轩路,金山区,30.763412,121.35937, 
龙航路杭州湾大道,金山区,30.764222,121.343579, 
海丰路龙皓路,金山区,30.764513,121.358779, 
龙皓路蒙山北路,金山区,30.760054,121.342988, 
新城区教育园区,金山区,30.758041,121.349238, 
杭州湾大道龙山路,金山区,30.753698,121.349877, 
海凌路龙海路,金山区,30.748186,121.350312, 
蒙山北路蒙源路,金山区,30.747916,121.345599, 
龙翔路海盛路,金山区,30.757042,121.355825, 
板桥西路杭州湾大道,金山区,30.740166,121.355459, 
板桥西路蒙山路,金山区,30.738805,121.350434, 
龙翔路卫零北路,金山区,30.752147,121.340764, 
金山区人民法院,金山区,30.743928,121.344983, 
蒙山路板桥西路,金山区,30.737182,121.349401, 
龙轩路蒙山北路,金山区,30.75656,121.344828, 
卫零北路金山大道,金山区,30.744639,121.340778, 
杭州湾大道金山大道,金山区,30.746641,121.353304, 
龙皓路海盛路,金山区,30.751537,121.357919, 
板桥西路龙凯街,金山区,30.737917,121.346252, 
蒙山北路龙皓路,金山区,30.757352,121.341338, 
金山博物馆,金山区,30.75183,121.355969, 
金山区人民政府,金山区,30.747507,121.350933, 
板桥东路卫阳南路,金山区,30.741763,121.359245, 
海芙路龙山路,金山区,30.754655,121.353611, 
杭州湾大道龙轩路,金山区,30.758962,121.347415, 
海盛路龙轩路,金山区,30.759216,121.356253, 
蒙山北路龙轩路,金山区,30.754379,121.34265, 
蒙山路金山大道,金山区,30.743444,121.347443, 
海芙路龙皓路,金山区,30.76129,121.350539, 
卫零北路龙山路,金山区,30.747998,121.340041, 
金山大道海芙路,金山区,30.750927,121.358884, 
金山大道海芙路(招呼站),金山区,30.750926,121.358904, 
杭州湾大道板桥西路,金山区,30.739848,121.357047, 
金山区行政服务中心,金山区,30.75128,121.34789, 
金山区医保中心,金山区,30.739552,121.348676, 
蒙山北路龙翔路,金山区,30.751289,121.34408, 
卫零路金山大道,金山区,30.740821,121.341583, 
蒙山北路龙皓路(上客站),金山区,30.757291,121.341429, 
蒙山北路龙皓路(下客站),金山区,30.757401,121.341266, 
蒙山北路蒙源路(下客站),金山区,30.747842,121.345578, 
卫零路金山大道(下客站),金山区,30.740858,121.341527, 
蒙山北路蒙源路(上客站),金山区,30.747948,121.345633, 
金山区人民政府(下客站),金山区,30.747124,121.351354, 
金山区人民法院(上客站),金山区,30.743621,121.344411, 
蒙山路龙轩路,金山区,30.754263,121.342785, 
金山区人民法院(下客站),金山区,30.744241,121.345511, 
山阳小学,金山区,30.768988,121.377371, 
亭卫公路龙轩路,金山区,30.762716,121.363933, 
龙皓路(山阳镇政府),金山区,30.76667,121.36311, 
金康路,金山区,30.763471,121.367664, 
金康路卫昌路,金山区,30.763706,121.368237, 
亭卫公路龙皓路(山阳),金山区,30.767807,121.364227, 
山阳受理中心,金山区,30.767338,121.365226, 
亭卫公路龙皓路,金山区,30.767791,121.364246, 
向阳村,金山区,30.768293,121.368567, 
红旗东路华山路,金山区,30.769727,121.372315, 
山阳镇政府(招呼站),金山区,30.766657,121.362976, 
亭卫公路,金山区,30.77323,121.364003, 
金康路亭卫公路,金山区,30.763679,121.368109, 
山阳,金山区,30.767846,121.364259, 
亭卫公路龙皓路(山阳)(上客站),金山区,30.767781,121.36429, 
亭卫公路龙轩路(招呼站),金山区,30.763283,121.363921, 
山阳(下客站),金山区,30.767827,121.364187, 
龙轩路亭卫公路,金山区,30.762387,121.362538, 
亭卫公路龙轩路(下客站),金山区,30.763285,121.363922, 
龙轩路亭卫南路,金山区,30.762498,121.363107, 
卫清东路卫昌路,金山区,30.747091,121.378334, 
卫昌路板桥东路,金山区,30.749657,121.377306, 
卫清东路同凯路,金山区,30.740856,121.365923, 
亭卫公路,金山区,30.754772,121.365669, 
龙皓路海丰路,金山区,30.752961,121.360548, 
龙胜东路卫阳南路,金山区,30.737553,121.36708, 
卫清东路亭卫南路,金山区,30.742781,121.369762, 
龙皓路(山阳镇政府),金山区,30.754056,121.362574, 
亭卫南路龙胜东路,金山区,30.74034,121.372353, 
龙泉港桥,金山区,30.757988,121.373253, 
板桥东路同凯路,金山区,30.743553,121.362908, 
亭卫南路卫清东路,金山区,30.743114,121.3706, 
卫清东路海利路,金山区,30.744938,121.374139, 
卫昌路庆国路,金山区,30.76157,121.372553, 
板桥东路海利路,金山区,30.748649,121.373273, 
卫阳南路板桥东路,金山区,30.741114,121.361748, 
亭卫公路金山大道,金山区,30.754989,121.363423, 
亭卫南路板桥东路,金山区,30.746686,121.368169, 
板桥东路亭卫南路,金山区,30.745191,121.366245, 
海棠小学,金山区,30.747449,121.360278, 
卫阳南路卫清东路(招呼站),金山区,30.738709,121.363403, 
浦卫公路亭卫公路,金山区,30.754778,121.365703, 
同凯路板桥东路,金山区,30.746142,121.363441, 
卫阳南路卫清东路,金山区,30.738692,121.363405, 
卫清东路卫阳南路,金山区,30.738383,121.360908, 
板桥东路亭卫南路(下客站),金山区,30.744891,121.365613, 
亭卫公路金山大道(下客站),金山区,30.755321,121.363396, 
洙山路山南路,金山区,30.769442,121.382373, 
洙山路铁店浜桥,金山区,30.771855,121.382059, 
界河桥,金山区,30.769448,121.398365, 
洙山路新黄泥沼桥,金山区,30.763474,121.382276, 
洙山路九龙活动中心,金山区,30.766977,121.382404, 
李家宅,金山区,30.764526,121.391949, 
沪杭公路吴家宅,金山区,30.743099,121.386666, 
洙山路吴家宅,金山区,30.751592,121.386561, 
沪杭公路金山嘴,金山区,30.738843,121.38332, 
洙山路河缺口,金山区,30.758577,121.3822, 
沪杭公路方墩,金山区,30.751592,121.39603, 
洙山路沪杭路,金山区,30.749316,121.38989, 
洙山路九龙村部,金山区,30.755778,121.383577, 
沪杭公路渔业村,金山区,30.738713,121.38323, 
沪杭公路朱山路,金山区,30.748747,121.39253, 
王家宅,金山区,30.761242,121.38476, 
吴家宅,金山区,30.74254,121.386254, 
沪杭公路洙山路,金山区,30.748514,121.392241, 
中民村,金山区,30.806942,121.147848, 
丁家阳桥,金山区,30.785841,121.158583, 
农家乐,金山区,30.793426,121.157401, 
南长浜,金山区,30.787873,121.151729, 
廊下农家乐,金山区,30.792497,121.157075, 
中华村,金山区,30.795118,121.151908, 
六里塘大桥,金山区,30.791049,121.144783, 
徐家楼,金山区,30.80312,121.141156, 
朱平公路,金山区,30.803876,121.153773, 
匠人浜,金山区,30.802674,121.156998, 
南陆(公交站),金山区,30.802906,121.168055, 
水产园,金山区,30.793107,121.170276, 
山塘村,金山区,30.78206,121.171909, 
朝阳河桥,金山区,30.783607,121.166562, 
廊下新天地,金山区,30.793259,121.163631, 
梅家宅,金山区,30.792936,121.178015, 
山洪河桥,金山区,30.783495,121.177391, 
水产园(招呼站),金山区,30.793167,121.170352, 
向化路,金山区,30.80298,121.17058, 
水娄崂,金山区,30.803135,121.176334, 
南陆村,金山区,30.80291,121.167988, 
蔬菜基地,金山区,30.802751,121.16091, 
彭家桥,金山区,30.78433,121.182134, 
景阳村,金山区,30.792342,121.191522, 
木桥港(招呼站),金山区,30.79281,121.184945, 
